OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,H_MEAN,A_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,NUM_PAST,NUM_FUTURE,PCT_GROWTH,ENTRY_ED,WORK_EXP,CAT_SMALL,CAT_BIG
39-5094,Skincare Specialists,detailed,"33,680",15.86,"32,990",8.4,9.42,13.92,18.83,27.37,"17,480","19,590","28,940","39,160","56,930",44.4,62,39.8,Postsecondary non-degree award,None,Personal Appearance Workers,Service & Personal Care
39-6011,Baggage Porters and Bellhops,detailed,"43,790",11.38,"23,660",8.04,8.65,9.77,13.2,16.87,"16,730","17,980","20,330","27,450","35,090",41,46,12.1,High school diploma or equivalent,None,"Baggage Porters, Bellhops, and Concierges",Service & Personal Care
39-6012,Concierges,detailed,"30,190",14.39,"29,930",8.86,10.5,13.37,17.64,21.77,"18,420","21,840","27,810","36,680","45,280",26.3,32.4,23.4,High school diploma or equivalent,None,"Baggage Porters, Bellhops, and Concierges",Service & Personal Care
39-7011,Tour Guides and Escorts,detailed,"34,530",12.51,"26,020",8.22,9.11,11.43,14.67,18.05,"17,110","18,950","23,770","30,500","37,550",41.4,44.8,8.3,High school diploma or equivalent,None,Tour and Travel Guides,Service & Personal Care
39-7012,Travel Guides,detailed,"4,250",17.93,"37,300",9.43,11.81,16.26,22.54,28.23,"19,600","24,570","33,820","46,880","58,720",5.7,5.9,3.6,High school diploma or equivalent,None,Tour and Travel Guides,Service & Personal Care
39-9011,Childcare Workers,detailed,"597,900",10.33,"21,490",7.9,8.5,9.42,11.57,14.31,"16,430","17,680","19,600","24,060","29,770","1,312.70","1,496.80",14,High school diploma or equivalent,None,Other Personal Care and Service Workers,Service & Personal Care
39-9021,Personal Care Aides,detailed,"1,135,470",10.09,"20,990",7.91,8.57,9.67,11.17,13.34,"16,440","17,830","20,100","23,220","27,740","1,190.60","1,771.40",48.8,Less than high school,None,Other Personal Care and Service Workers,Service & Personal Care
39-9031,Fitness Trainers and Aerobics Instructors,detailed,"238,170",18.17,"37,790",8.58,10.15,15.88,23.36,32.19,"17,840","21,110","33,020","48,590","66,950",267,300.5,12.5,High school diploma or equivalent,None,Other Personal Care and Service Workers,Service & Personal Care
39-9032,Recreation Workers,detailed,"317,310",12.29,"25,560",8.17,8.94,10.76,14.21,18.7,"16,990","18,590","22,390","29,550","38,890",345.4,394.4,14.2,Bachelor's degree,None,Other Personal Care and Service Workers,Service & Personal Care
39-9041,Residential Advisors,detailed,"88,220",12.78,"26,580",8.39,9.66,11.79,14.89,18.5,"17,460","20,100","24,520","30,970","38,470",89.7,108.2,20.7,High school diploma or equivalent,None,Other Personal Care and Service Workers,Service & Personal Care
39-9099,"Personal Care and Service Workers, All Other",detailed,"61,820",11.31,"23,530",8.16,8.91,10.04,12.6,16.75,"16,980","18,530","20,880","26,200","34,830",97.1,108,11.1,High school diploma or equivalent,None,Other Personal Care and Service Workers,Service & Personal Care
41-1011,First-Line Supervisors of Retail Sales Workers,detailed,"1,213,550",19.93,"41,450",11.29,13.92,17.88,23,30.21,"23,490","28,940","37,200","47,850","62,830","1,603.30","1,674.20",4.4,High school diploma or equivalent,Less than 5 years,Supervisors of Sales Workers,Sales
41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,"245,780",39.85,"82,890",17.57,23.92,33.92,49,69.8,"36,550","49,760","70,560","101,920","145,180",394.4,391.2,-0.8,High school diploma or equivalent,Less than 5 years,Supervisors of Sales Workers,Sales
41-2011,Cashiers,detailed,"3,343,470",9.82,"20,420",7.89,8.4,9.12,10.67,13.32,"16,420","17,480","18,960","22,190","27,710","3,338.90","3,425.40",2.6,Less than high school,None,Retail Sales Workers,Sales
41-2012,Gaming Change Persons and Booth Cashiers,detailed,"20,060",12.05,"25,070",8.46,9.55,11.43,14.19,17.09,"17,590","19,870","23,780","29,520","35,540",22.3,22.3,0.1,High school diploma or equivalent,None,Retail Sales Workers,Sales
41-2021,Counter and Rental Clerks,detailed,"430,700",13.05,"27,130",8.27,9.09,11.24,15.23,20.8,"17,210","18,910","23,370","31,680","43,270",437.8,484.4,10.6,Less than high school,None,Retail Sales Workers,Sales
41-2022,Parts Salespersons,detailed,"221,270",15.52,"32,290",8.93,10.76,14.15,18.85,24.25,"18,570","22,370","29,440","39,210","50,430",221.3,236.8,7,Less than high school,None,Retail Sales Workers,Sales
41-2031,Retail Salespersons,detailed,"4,485,180",12.2,"25,370",8.09,8.78,10.16,13.37,18.66,"16,830","18,260","21,140","27,800","38,820","4,447.00","4,881.70",9.8,Less than high school,None,Retail Sales Workers,Sales
41-3011,Advertising Sales Agents,detailed,"148,770",27.62,"57,440",10.69,14.81,22.03,34,51.06,"22,240","30,810","45,830","70,720","106,200",154.6,153.6,-0.7,High school diploma or equivalent,None,"Sales Representatives, Services",Sales
41-3021,Insurance Sales Agents,detailed,"354,460",30.58,"63,610",12.51,16.46,23.18,35.29,56.65,"26,030","34,230","48,210","73,390","117,830",443.4,489.3,10.4,High school diploma or equivalent,None,"Sales Representatives, Services",Sales
41-3031,"Securities, Commodities, and Financial Services Sales Agents",detailed,"325,140",49.28,"102,510",15.52,19.46,34.92,67.76,#,"32,280","40,480","72,640","140,930",#,354.6,394.3,11.2,Bachelor's degree,None,"Sales Representatives, Services",Sales
41-3041,Travel Agents,detailed,"64,250",17.88,"37,200",9.44,12.59,16.6,21.59,27.84,"19,640","26,180","34,530","44,900","57,910",73.3,64.4,-12.1,High school diploma or equivalent,None,"Sales Representatives, Services",Sales
41-3099,"Sales Representatives, Services, All Other",detailed,"760,980",29.54,"61,450",12.01,16.57,24.53,36.39,53.22,"24,970","34,460","51,030","75,690","110,690",701.9,812.2,15.7,High school diploma or equivalent,None,"Sales Representatives, Services",Sales
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,"352,830",41.16,"85,610",17.93,24.86,35.83,51.08,70.06,"37,300","51,710","74,520","106,260","145,730",382.3,419.5,9.7,Bachelor's degree,None,"Sales Representatives, Wholesale and Manufacturing",Sales
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,"1,403,770",31.09,"64,670",12.99,18.17,26.16,37.72,54.72,"27,030","37,790","54,410","78,460","113,810","1,480.70","1,612.80",8.9,High school diploma or equivalent,None,"Sales Representatives, Wholesale and Manufacturing",Sales
41-9011,Demonstrators and Product Promoters,detailed,"76,870",13.92,"28,950",9.11,10.17,11.75,15.79,21.7,"18,950","21,150","24,440","32,850","45,140",78.1,90.7,16.1,High school diploma or equivalent,None,Other Sales and Related Workers,Sales
41-9012,Models,detailed,"5,470",12.79,"26,600",7.91,8.42,9.15,15.77,21.73,"16,460","17,520","19,040","32,800","45,200",4.8,5.5,15.3,Less than high school,None,Other Sales and Related Workers,Sales
41-9021,Real Estate Brokers,detailed,"38,970",39.6,"82,380",11.67,16.68,28.65,50.08,89.93,"24,260","34,690","59,580","104,160","187,050",79.6,88.3,10.8,High school diploma or equivalent,Less than 5 years,Other Sales and Related Workers,Sales
41-9022,Real Estate Sales Agents,detailed,"158,850",25.55,"53,140",10.21,13.37,19.14,31.3,47.16,"21,240","27,800","39,800","65,100","98,090",342.4,380.3,11.1,High school diploma or equivalent,None,Other Sales and Related Workers,Sales
41-9031,Sales Engineers,detailed,"65,730",48.94,"101,790",26.86,34.48,45.14,59.6,74.34,"55,870","71,720","93,900","123,960","154,630",66,71.8,8.9,Bachelor's degree,None,Other Sales and Related Workers,Sales
41-9041,Telemarketers,detailed,"231,900",12.42,"25,830",8.22,9.07,10.87,14.15,18.48,"17,090","18,870","22,610","29,430","38,440",250.1,269.3,7.7,Less than high school,None,Other Sales and Related Workers,Sales
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,"6,090",12.18,"25,330",8.03,8.7,9.82,13.46,18.93,"16,690","18,100","20,430","27,990","39,370",92.7,78.5,-15.3,High school diploma or equivalent,None,Other Sales and Related Workers,Sales
41-9099,"Sales and Related Workers, All Other",detailed,"114,100",16.5,"34,330",8.61,9.92,13.11,19.43,28.71,"17,910","20,640","27,270","40,410","59,720",135.7,154.1,13.5,High school diploma or equivalent,None,Other Sales and Related Workers,Sales
43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,"1,366,510",25.81,"53,690",14.81,18.7,24.13,31.3,39.17,"30,800","38,900","50,190","65,100","81,480","1,418.10","1,589.60",12.1,High school diploma or equivalent,Less than 5 years,Supervisors of Office and Administrative Support Workers,Office and Administrative Support
43-2011,"Switchboard Operators, Including Answering Service",detailed,"118,060",13.11,"27,270",8.86,10.27,12.45,15.14,18.37,"18,430","21,360","25,900","31,490","38,200",131,113.7,-13.2,High school diploma or equivalent,None,Communications Equipment Operators,Office and Administrative Support
43-2021,Telephone Operators,detailed,"10,280",16.69,"34,720",9.56,11.69,15.67,21.19,26.33,"19,890","24,310","32,590","44,070","54,770",11.1,9.6,-13.1,High school diploma or equivalent,None,Communications Equipment Operators,Office and Administrative Support
43-2099,"Communications Equipment Operators, All Other",detailed,"2,550",20.36,"42,350",12.31,15.33,19.58,24.79,28.67,"25,610","31,890","40,720","51,550","59,640",3,3.2,4.6,High school diploma or equivalent,None,Communications Equipment Operators,Office and Administrative Support
43-3011,Bill and Account Collectors,detailed,"368,850",16.66,"34,650",10.59,12.85,15.83,19.22,23.61,"22,030","26,720","32,920","39,970","49,120",397.4,455.6,14.7,High school diploma or equivalent,None,Financial Clerks,Office and Administrative Support
43-3021,Billing and Posting Clerks,detailed,"493,840",16.8,"34,940",11.42,13.41,16.26,19.37,23.05,"23,750","27,890","33,820","40,300","47,930",513.8,607,18.1,High school diploma or equivalent,None,Financial Clerks,Office and Administrative Support
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,"1,586,380",17.91,"37,250",10.59,13.59,17.18,21.49,26.52,"22,020","28,270","35,730","44,690","55,170","1,799.80","2,004.50",11.4,High school diploma or equivalent,None,Financial Clerks,Office and Administrative Support
43-3041,Gaming Cage Workers,detailed,"17,360",12.59,"26,190",8.71,9.94,11.86,14.65,17.96,"18,120","20,670","24,660","30,480","37,360",18.4,19.8,7.3,High school diploma or equivalent,None,Financial Clerks,Office and Administrative Support
43-3051,Payroll and Timekeeping Clerks,detailed,"170,400",19.16,"39,850",12.2,15.2,18.59,22.57,27.48,"25,370","31,610","38,670","46,950","57,150",179.5,202,12.5,High school diploma or equivalent,None,Financial Clerks,Office and Administrative Support
43-3061,Procurement Clerks,detailed,"68,690",18.72,"38,940",11.93,15.03,18.64,22.26,25.9,"24,820","31,250","38,780","46,310","53,870",72.2,73.6,2,High school diploma or equivalent,None,Financial Clerks,Office and Administrative Support
43-3071,Tellers,detailed,"527,680",12.62,"26,260",9.56,10.53,12.21,14.28,16.96,"19,870","21,900","25,390","29,700","35,270",545.3,551,1,High school diploma or equivalent,None,Financial Clerks,Office and Administrative Support
43-3099,"Financial Clerks, All Other",detailed,"41,770",19.52,"40,590",12.4,15.24,18.39,22.61,28.03,"25,790","31,690","38,240","47,030","58,300",40.7,45.2,10.9,High school diploma or equivalent,None,Financial Clerks,Office and Administrative Support
43-4011,Brokerage Clerks,detailed,"60,300",22.96,"47,760",14.82,17.55,21.85,27.53,33.52,"30,830","36,500","45,450","57,250","69,730",61.9,64.3,3.8,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-4021,Correspondence Clerks,detailed,"7,800",17.22,"35,810",11.57,13.84,16.75,20.08,23.28,"24,060","28,800","34,840","41,760","48,430",11.1,11.5,4.2,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-4031,"Court, Municipal, and License Clerks",detailed,"127,170",17.72,"36,850",11.21,13.39,16.89,20.96,25.58,"23,310","27,850","35,130","43,600","53,210",130,143.8,10.6,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-4041,"Credit Authorizers, Checkers, and Clerks",detailed,"50,240",17.15,"35,660",11.52,13.22,16.13,20.32,24.95,"23,960","27,490","33,560","42,270","51,900",52.2,50.5,-3.2,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-4051,Customer Service Representatives,detailed,"2,389,580",16.04,"33,370",9.44,11.69,14.84,18.95,24.31,"19,640","24,300","30,870","39,410","50,570","2,362.80","2,661.40",12.6,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-4061,"Eligibility Interviewers, Government Programs",detailed,"123,920",20.15,"41,910",13.62,16.19,20.15,23.5,27.01,"28,340","33,670","41,900","48,880","56,190",138.1,152,10.1,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-4071,File Clerks,detailed,"152,920",13.79,"28,680",8.71,10.2,12.89,16.68,20.57,"18,120","21,210","26,810","34,690","42,780",164.2,158.8,-3.3,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-4081,"Hotel, Motel, and Resort Desk Clerks",detailed,"234,750",10.58,"22,010",8,8.67,9.81,11.6,14.54,"16,640","18,030","20,400","24,130","30,250",231.6,263.4,13.7,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-4111,"Interviewers, Except Eligibility and Loan",detailed,"192,360",15.22,"31,660",9.4,11.86,14.56,18.02,22.08,"19,560","24,660","30,270","37,490","45,920",204.5,225.8,10.4,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-4121,"Library Assistants, Clerical",detailed,"101,990",12.43,"25,850",8.27,9.16,11.37,14.74,18.45,"17,200","19,050","23,660","30,650","38,370",110.4,126.6,14.7,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-4131,Loan Interviewers and Clerks,detailed,"213,270",17.76,"36,940",11.31,13.85,17.33,21.26,24.99,"23,520","28,810","36,050","44,210","51,980",195.9,213,8.7,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-4141,New Accounts Clerks,detailed,"56,990",16.32,"33,940",11.87,13.46,15.96,18.45,21.91,"24,700","28,000","33,190","38,380","45,580",55.7,53,-4.9,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-4151,Order Clerks,detailed,"200,210",15.33,"31,880",9.13,11.18,14.48,18.57,22.9,"18,980","23,250","30,110","38,620","47,620",212.7,207.4,-2.5,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",detailed,"136,960",18.52,"38,520",11.96,14.76,18.12,21.92,26.08,"24,870","30,700","37,680","45,590","54,240",146.9,145.3,-1.1,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-4171,Receptionists and Information Clerks,detailed,"973,580",13.2,"27,450",8.82,10.31,12.7,15.39,18.35,"18,330","21,450","26,410","32,020","38,170","1,006.70","1,142.60",13.5,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,detailed,"141,900",16.69,"34,710",9.83,11.6,16.34,21.38,24.41,"20,450","24,120","33,990","44,470","50,770",139.1,119.6,-14,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-4199,"Information and Record Clerks, All Other",detailed,"180,570",18.05,"37,530",11.23,13.89,17.71,21.75,25.37,"23,370","28,900","36,830","45,240","52,760",188.9,172.2,-8.8,High school diploma or equivalent,None,Information and Record Clerks,Office and Administrative Support
43-5011,Cargo and Freight Agents,detailed,"73,760",20.97,"43,620",11.77,15,19.35,24.85,32.29,"24,470","31,200","40,250","51,680","67,160",79.5,91,14.5,High school diploma or equivalent,None,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Office and Administrative Support
43-5021,Couriers and Messengers,detailed,"74,060",13.35,"27,770",8.6,9.96,12.61,15.75,19.33,"17,890","20,720","26,230","32,750","40,210",98.2,87.4,-11.1,High school diploma or equivalent,None,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Office and Administrative Support
43-5031,"Police, Fire, and Ambulance Dispatchers",detailed,"96,860",18.73,"38,960",11.46,14.01,17.81,22.54,27.9,"23,830","29,140","37,040","46,890","58,020",98.5,106.2,7.7,High school diploma or equivalent,None,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Office and Administrative Support
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",detailed,"185,270",18.8,"39,100",10.43,13.37,17.5,22.63,28.89,"21,700","27,800","36,390","47,080","60,090",190.9,212.3,11.2,High school diploma or equivalent,None,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Office and Administrative Support
43-5041,"Meter Readers, Utilities",detailed,"37,950",18.79,"39,080",10.31,13,17.51,23.76,29.42,"21,450","27,040","36,410","49,430","61,200",40.2,32.5,-19.2,High school diploma or equivalent,None,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Office and Administrative Support
43-5051,Postal Service Clerks,detailed,"71,910",22.87,"47,570",12.64,16.81,25.88,26.03,26.92,"26,280","34,960","53,840","54,130","56,000",66.9,45.7,-31.8,High school diploma or equivalent,None,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Office and Administrative Support
43-5052,Postal Service Mail Carriers,detailed,"307,490",24.47,"50,890",16.26,19.75,27.16,27.17,27.74,"33,810","41,080","56,490","56,510","57,700",295.1,215.8,-26.8,High school diploma or equivalent,None,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Office and Administrative Support
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,"121,580",23.09,"48,040",13.76,24.15,25.88,25.89,25.98,"28,620","50,220","53,830","53,850","54,030",129.6,91,-29.8,High school diploma or equivalent,None,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Office and Administrative Support
43-5061,"Production, Planning, and Expediting Clerks",detailed,"281,930",22.3,"46,390",12.52,16.25,21.46,27.27,33.85,"26,040","33,800","44,630","56,720","70,410",284.7,294.8,3.6,High school diploma or equivalent,None,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Office and Administrative Support
43-5071,"Shipping, Receiving, and Traffic Clerks",detailed,"677,450",14.93,"31,060",9.31,11.22,14.1,17.78,22.01,"19,360","23,330","29,320","36,980","45,780",695.5,702.3,1,High school diploma or equivalent,None,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Office and Administrative Support
43-5081,Stock Clerks and Order Fillers,detailed,"1,800,410",11.99,"24,940",8.19,8.98,10.81,14.01,18.05,"17,040","18,680","22,480","29,150","37,540","1,807.20","1,801.20",-0.3,Less than high school,None,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Office and Administrative Support
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed,"69,990",14.59,"30,340",8.96,10.63,13.64,17.55,21.93,"18,630","22,110","28,370","36,500","45,600",72.2,79.6,10.2,High school diploma or equivalent,None,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Office and Administrative Support
43-6011,Executive Secretaries and Executive Administrative Assistants,detailed,"755,210",24.94,"51,870",15.43,18.96,23.7,29.96,36.04,"32,090","39,430","49,290","62,310","74,970",873.9,863.4,-1.2,High school diploma or equivalent,Less than 5 years,Secretaries and Administrative Assistants,Office and Administrative Support
43-6012,Legal Secretaries,detailed,"220,680",21.65,"45,030",12.72,15.82,20.38,26.83,33.35,"26,450","32,900","42,390","55,800","69,360",223.1,216.1,-3.1,High school diploma or equivalent,None,Secretaries and Administrative Assistants,Office and Administrative Support
43-6013,Medical Secretaries,detailed,"512,970",15.93,"33,140",10.65,12.69,15.33,18.35,22.32,"22,150","26,400","31,890","38,160","46,420",525.6,714.9,36,High school diploma or equivalent,None,Secretaries and Administrative Assistants,Office and Administrative Support
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,"2,159,000",16.35,"34,000",9.79,12.46,15.79,19.75,23.73,"20,370","25,910","32,840","41,070","49,370","2,324.40","2,632.30",13.2,High school diploma or equivalent,None,Secretaries and Administrative Assistants,Office and Administrative Support
43-9011,Computer Operators,detailed,"67,450",19.25,"40,040",10.97,14.23,18.69,23.85,28.16,"22,820","29,590","38,870","49,610","58,570",74.6,62,-17,High school diploma or equivalent,None,Other Office and Administrative Support Workers,Office and Administrative Support
43-9021,Data Entry Keyers,detailed,"207,660",14.27,"29,670",9.42,11.15,13.69,16.84,20.25,"19,590","23,180","28,470","35,030","42,120",220.3,166.1,-24.6,High school diploma or equivalent,None,Other Office and Administrative Support Workers,Office and Administrative Support
43-9022,Word Processors and Typists,detailed,"88,200",17.68,"36,770",11.61,14.37,17.32,20.41,24.01,"24,150","29,880","36,020","42,460","49,940",104.4,78.2,-25.1,High school diploma or equivalent,None,Other Office and Administrative Support Workers,Office and Administrative Support
43-9031,Desktop Publishers,detailed,"14,360",19.77,"41,130",9.54,13.41,18.2,24.23,31.15,"19,840","27,900","37,850","50,410","64,790",16.4,15.5,-5.5,Associate's degree,None,Other Office and Administrative Support Workers,Office and Administrative Support
43-9041,Insurance Claims and Policy Processing Clerks,detailed,"236,160",18.27,"38,010",12.21,14.3,17.42,21.39,26.05,"25,400","29,750","36,230","44,490","54,190",254.4,275,8.1,High school diploma or equivalent,None,Other Office and Administrative Support Workers,Office and Administrative Support
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,"99,140",13.83,"28,760",8.77,10.35,13.2,16.68,20.21,"18,250","21,520","27,450","34,700","42,040",108.5,98.9,-8.8,High school diploma or equivalent,None,Other Office and Administrative Support Workers,Office and Administrative Support
43-9061,"Office Clerks, General",detailed,"2,832,010",14.42,"29,990",8.67,10.32,13.49,17.39,21.8,"18,040","21,460","28,050","36,170","45,340","2,983.50","3,167.60",6.2,High school diploma or equivalent,None,Other Office and Administrative Support Workers,Office and Administrative Support
43-9071,"Office Machine Operators, Except Computer",detailed,"66,840",14.29,"29,710",8.93,10.75,13.51,17.13,21.13,"18,570","22,360","28,100","35,630","43,950",68.8,61.8,-10.2,High school diploma or equivalent,None,Other Office and Administrative Support Workers,Office and Administrative Support
43-9081,Proofreaders and Copy Markers,detailed,"11,260",16.97,"35,300",9.34,12.32,15.93,21.19,26.26,"19,430","25,620","33,130","44,080","54,620",13.2,13,-1.4,Bachelor's degree,None,Other Office and Administrative Support Workers,Office and Administrative Support
43-9111,Statistical Assistants,detailed,"15,640",20.45,"42,530",11.81,14.91,19.92,24.94,29.15,"24,570","31,010","41,430","51,880","60,630",17.2,18.8,9.2,Bachelor's degree,None,Other Office and Administrative Support Workers,Office and Administrative Support
43-9199,"Office and Administrative Support Workers, All Other",detailed,"240,670",16.35,"34,000",8.98,11.11,15.38,20.1,25.74,"18,670","23,110","32,000","41,810","53,530",260.3,275,5.7,High school diploma or equivalent,None,Other Office and Administrative Support Workers,Office and Administrative Support
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,"18,540",22.09,"45,940",12.23,15.47,20.9,27.32,34.11,"25,440","32,180","43,480","56,830","70,940",45.9,44.8,-2.5,High school diploma or equivalent,Less than 5 years,"Supervisors of Farming, Fishing, and Forestry Workers",Agriculture
45-2011,Agricultural Inspectors,detailed,"13,740",20.96,"43,600",12.28,16.04,20.52,24.53,30.36,"25,540","33,350","42,680","51,030","63,150",17,16.8,-1,Bachelor's degree,None,Agricultural Workers,Agriculture
45-2021,Animal Breeders,detailed,"1,240",19.38,"40,310",8.85,12.64,18.24,25.94,30.38,"18,410","26,290","37,950","53,950","63,190",1.3,1,-23.4,High school diploma or equivalent,Less than 5 years,Agricultural Workers,Agriculture
45-2041,"Graders and Sorters, Agricultural Products",detailed,"38,120",10.1,"21,000",8.21,8.64,9.24,10.98,13.47,"17,070","17,980","19,220","22,840","28,010",49.2,48.2,-2,Less than high school,None,Agricultural Workers,Agriculture
45-2091,Agricultural Equipment Operators,detailed,"22,650",13.34,"27,740",8.54,9.81,12.58,15.9,18.93,"17,760","20,400","26,170","33,060","39,370",59,61.2,3.9,Less than high school,None,Agricultural Workers,Agriculture
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,"261,720",9.65,"20,080",8.21,8.51,9,9.91,12.52,"17,080","17,700","18,710","20,610","26,040",596.8,567.6,-4.9,Less than high school,None,Agricultural Workers,Agriculture
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,"31,000",11.91,"24,760",8.09,8.97,10.89,13.97,17.65,"16,820","18,660","22,650","29,060","36,710",77.9,79.6,2.2,Less than high school,None,Agricultural Workers,Agriculture
45-2099,"Agricultural Workers, All Other",detailed,"4,870",14.03,"29,170",8.31,9.34,11.73,17.55,23.46,"17,270","19,420","24,390","36,510","48,800",14.4,14.9,3.4,Less than high school,None,Agricultural Workers,Agriculture
45-3011,Fishers and Related Fishing Workers,detailed,480,17.71,"36,840",10.32,12.89,16.96,21.23,27.84,"21,470","26,800","35,270","44,150","57,900",31.3,29.7,-5,Less than high school,None,Fishing and Hunting Workers,Agriculture
45-4011,Forest and Conservation Workers,detailed,"6,940",13.88,"28,860",8.05,9.14,12.39,17.03,21.81,"16,740","19,000","25,770","35,420","45,360",10.5,11,4.5,High school diploma or equivalent,None,"Forest, Conservation, and Logging Workers",Agriculture
45-4021,Fallers,detailed,"5,790",19.5,"40,550",10.39,12.94,16.6,25.11,32.79,"21,610","26,920","34,530","52,220","68,210",6.6,3.8,-43.3,High school diploma or equivalent,None,"Forest, Conservation, and Logging Workers",Agriculture
45-4022,Logging Equipment Operators,detailed,"24,490",16.69,"34,700",10.21,12.95,16.39,20.03,22.86,"21,240","26,930","34,080","41,650","47,540",30,30.6,2,High school diploma or equivalent,None,"Forest, Conservation, and Logging Workers",Agriculture
45-4023,Log Graders and Scalers,detailed,"2,780",16.39,"34,090",10.36,12.68,15.9,19.54,22.68,"21,540","26,380","33,070","40,650","47,170",3.5,2.4,-31.6,High school diploma or equivalent,None,"Forest, Conservation, and Logging Workers",Agriculture
45-4029,"Logging Workers, All Other",detailed,"2,810",16.67,"34,680",11.02,14.54,16.44,18.25,22.07,"22,930","30,240","34,190","37,970","45,910",3.7,3.3,-12.1,High school diploma or equivalent,None,"Forest, Conservation, and Logging Workers",Agriculture
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detailed,"467,130",30.7,"63,860",17.88,22.58,29.03,36.87,45.73,"37,190","46,970","60,380","76,700","95,120",545.5,673.8,23.5,High school diploma or equivalent,5 years or more,Supervisors of Construction and Extraction Workers,Construction and Extraction
47-2011,Boilermakers,detailed,"15,950",27.85,"57,920",16.66,21.26,27.74,34.44,40.69,"34,650","44,220","57,690","71,630","84,630",18,18.7,3.7,High school diploma or equivalent,None,Construction Trades Workers,Construction and Extraction
47-2021,Brickmasons and Blockmasons,detailed,"58,730",24.37,"50,700",13.93,17.24,22.41,30.2,38.03,"28,970","35,860","46,610","62,810","79,110",71,96.2,35.5,High school diploma or equivalent,None,Construction Trades Workers,Construction and Extraction
47-2022,Stonemasons,detailed,"10,410",19.23,"39,990",10.54,13.17,17.54,22.84,31.27,"21,930","27,390","36,480","47,510","65,040",14.1,18.2,29.2,High school diploma or equivalent,None,Construction Trades Workers,Construction and Extraction
47-2031,Carpenters,detailed,"580,570",21.62,"44,980",12.08,15.17,19.47,26.61,35.14,"25,120","31,550","40,500","55,340","73,100",901.2,"1,119.40",24.2,High school diploma or equivalent,None,Construction Trades Workers,Construction and Extraction
47-2041,Carpet Installers,detailed,"24,640",19.39,"40,330",9.99,12.4,17.19,24.24,33.32,"20,770","25,780","35,760","50,420","69,300",36.7,39.9,8.7,Less than high school,None,Construction Trades Workers,Construction and Extraction
