OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,H_MEAN,A_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,NUM_PAST,NUM_FUTURE,PCT_GROWTH,ENTRY_ED,WORK_EXP,CAT_SMALL,CAT_BIG
15-2031,Operations Research Analysts,detailed,"72,680",39.26,"81,660",20.23,26.5,35.88,47.7,62.6,"42,070","55,110","74,630","99,210","130,210",73.2,92.7,26.7,Bachelor's degree,None,Mathematical Science Occupations,Computer& Mathematics
15-2041,Statisticians,detailed,"24,950",40.05,"83,310",21.3,28.06,38.12,49.94,61.75,"44,310","58,360","79,290","103,870","128,430",27.6,34.9,26.7,Master's degree,None,Mathematical Science Occupations,Computer& Mathematics
15-2091,Mathematical Technicians,detailed,"1,080",28.97,"60,260",14.63,17.7,26.07,36.09,49.88,"30,430","36,820","54,230","75,060","103,740",1.9,2.1,12.6,Bachelor's degree,None,Mathematical Science Occupations,Computer& Mathematics
15-2099,"Mathematical Science Occupations, All Other",detailed,"1,240",33.18,"69,000",16.16,20.97,29.24,41.09,56.39,"33,600","43,610","60,820","85,470","117,290",1.9,2.2,13.3,Bachelor's degree,None,Mathematical Science Occupations,Computer& Mathematics
17-1011,"Architects, Except Landscape and Naval",detailed,"84,210",38.29,"79,650",21.6,27.7,35.63,45.25,57.39,"44,930","57,620","74,110","94,120","119,370",107.4,126,17.3,Bachelor's degree,None,"Architects, Surveyors, and Cartographers",Architecture and Engineering
17-1012,Landscape Architects,detailed,"16,330",32.97,"68,570",18.74,23.49,31.15,40.45,50.18,"38,980","48,860","64,790","84,140","104,360",20.1,22.9,14.3,Bachelor's degree,None,"Architects, Surveyors, and Cartographers",Architecture and Engineering
17-1021,Cartographers and Photogrammetrists,detailed,"11,290",30.07,"62,540",17.5,22.02,28.29,36.46,45.57,"36,390","45,800","58,840","75,830","94,780",12.1,14.5,19.6,Bachelor's degree,None,"Architects, Surveyors, and Cartographers",Architecture and Engineering
17-1022,Surveyors,detailed,"41,360",28.64,"59,570",15.45,20.2,27.21,35.99,44.13,"32,130","42,010","56,590","74,860","91,790",42.4,46.8,10.3,Bachelor's degree,Less than 5 years,"Architects, Surveyors, and Cartographers",Architecture and Engineering
17-2011,Aerospace Engineers,detailed,"71,500",50.7,"105,450",31.31,39.28,49.94,61.41,72.44,"65,130","81,710","103,870","127,740","150,680",83,89.1,7.3,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2021,Agricultural Engineers,detailed,"2,590",37.92,"78,880",23.25,29.77,35.79,45.2,55.79,"48,370","61,910","74,450","94,020","116,040",2.6,2.7,4.8,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2031,Biomedical Engineers,detailed,"19,890",45.18,"93,960",26.01,33.04,42.63,54.45,68.75,"54,100","68,720","88,670","113,250","143,000",19.4,24.6,26.6,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2041,Chemical Engineers,detailed,"33,300",50.16,"104,340",28.52,36,46.02,58.3,76.43,"59,320","74,870","95,730","121,250","158,980",33.3,34.8,4.5,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2051,Civil Engineers,detailed,"262,170",41.17,"85,640",24.91,30.7,38.83,48.88,60.67,"51,810","63,850","80,770","101,660","126,190",272.9,326.6,19.7,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2061,Computer Hardware Engineers,detailed,"77,670",51.41,"106,930",31.07,39.18,50.12,62.53,74.43,"64,620","81,500","104,250","130,060","154,810",83.3,89.4,7.4,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2071,Electrical Engineers,detailed,"168,100",44.89,"93,380",27.56,33.97,42.88,54.12,67.02,"57,330","70,650","89,180","112,560","139,400",166.1,174,4.7,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2072,"Electronics Engineers, Except Computer",detailed,"135,350",47.05,"97,870",29.13,35.86,45.31,56.27,69.6,"60,600","74,590","94,250","117,040","144,760",140,144.8,3.4,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2081,Environmental Engineers,detailed,"53,020",41.12,"85,520",23.91,30.25,39.53,49.93,58.99,"49,730","62,920","82,220","103,860","122,690",53.2,61.4,15.3,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"23,850",39.1,"81,320",21.98,28.87,37.89,48.82,58.09,"45,720","60,050","78,820","101,530","120,830",24.1,26.7,11,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2112,Industrial Engineers,detailed,"230,580",40.09,"83,390",24.98,31.14,38.61,47.24,57.43,"51,950","64,760","80,300","98,250","119,460",223.3,233.4,4.5,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2121,Marine Engineers and Naval Architects,detailed,"6,640",45.21,"94,040",27.31,34.71,43.05,53.98,67.5,"56,800","72,200","89,550","112,280","140,390",7.3,8.1,10.3,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2131,Materials Engineers,detailed,"24,190",43.23,"89,930",26.22,33.06,41.98,53.15,64.67,"54,540","68,760","87,330","110,550","134,510",23.2,23.4,0.9,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2141,Mechanical Engineers,detailed,"258,630",41.31,"85,930",25.27,31.43,39.47,49.41,59.3,"52,550","65,370","82,100","102,770","123,340",258.1,269.7,4.5,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,"7,990",46.61,"96,950",24.23,31.31,41.76,54.76,71.67,"50,390","65,130","86,870","113,900","149,070",7.9,8.9,12,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2161,Nuclear Engineers,detailed,"16,400",51.38,"106,860",32.2,39.55,48.85,58.29,75.46,"66,970","82,270","101,600","121,240","156,960",20.4,22.3,9.3,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2171,Petroleum Engineers,detailed,"34,910",71.72,"149,180",35.69,47.3,63.62,89.67,#,"74,240","98,390","132,320","186,520",#,38.5,48.4,25.5,Bachelor's degree,None,Engineers,Architecture and Engineering
17-2199,"Engineers, All Other",detailed,"120,810",45.34,"94,310",23.63,33.08,44.56,56.7,69.23,"49,140","68,810","92,680","117,930","144,000",133,138.1,3.8,Bachelor's degree,None,Engineers,Architecture and Engineering
17-3011,Architectural and Civil Drafters,detailed,"88,860",24.64,"51,250",15.6,19.05,23.46,28.99,35.67,"32,440","39,630","48,800","60,300","74,200",87.9,88.5,0.8,Associate's degree,None,"Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering
17-3012,Electrical and Electronics Drafters,detailed,"29,600",29.01,"60,350",17.04,21.52,27.53,35.53,43.71,"35,440","44,760","57,250","73,910","90,930",29.6,32.5,9.6,Associate's degree,None,"Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering
17-3013,Mechanical Drafters,detailed,"63,180",26.21,"54,510",15.95,19.65,24.77,31.47,39.5,"33,170","40,870","51,520","65,460","82,160",66.7,63.4,-4.9,Associate's degree,None,"Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering
17-3019,"Drafters, All Other",detailed,"14,820",24.49,"50,930",14.43,17.76,22.92,29.36,37.03,"30,010","36,930","47,680","61,060","77,020",15.6,17.6,12.7,Associate's degree,None,"Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering
17-3021,Aerospace Engineering and Operations Technicians,detailed,"10,540",30.07,"62,540",18.76,23.92,30.14,36.4,43.06,"39,010","49,760","62,680","75,710","89,570",9.9,9.9,-0.4,Associate's degree,None,"Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering
17-3022,Civil Engineering Technicians,detailed,"69,830",23.74,"49,380",14.59,17.85,22.97,28.63,34.66,"30,340","37,130","47,780","59,550","72,080",73.1,73.6,0.6,Associate's degree,None,"Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering
17-3023,Electrical and Electronics Engineering Technicians,detailed,"141,150",28.26,"58,770",16.62,21.55,28.15,33.98,41.03,"34,570","44,820","58,540","70,680","85,350",146.5,146.5,0,Associate's degree,None,"Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering
17-3024,Electro-Mechanical Technicians,detailed,"15,540",26.04,"54,160",16.1,19.5,24.68,31.8,38.5,"33,490","40,560","51,330","66,140","80,070",17.3,18,3.9,Associate's degree,None,"Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering
17-3025,Environmental Engineering Technicians,detailed,"18,020",23.64,"49,180",14.13,17.27,22.19,28.66,35.71,"29,380","35,920","46,160","59,600","74,280",19,22.5,18.4,Associate's degree,None,"Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering
17-3026,Industrial Engineering Technicians,detailed,"68,520",26.04,"54,170",16.12,19.85,25.01,31.09,37.48,"33,520","41,290","52,020","64,670","77,960",68,65.8,-3.2,Associate's degree,None,"Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering
17-3027,Mechanical Engineering Technicians,detailed,"46,090",26.09,"54,280",16.19,19.98,25.19,31.54,37.11,"33,680","41,550","52,390","65,610","77,190",47.5,49.7,4.7,Associate's degree,None,"Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering
17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,"65,960",29.78,"61,940",16.54,22.39,29.12,36.03,43.7,"34,390","46,560","60,560","74,950","90,890",67.7,68.3,0.9,Associate's degree,None,"Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering
